name,active_ingredient,crop_applicable,dosage_ml_per_liter,pre_harvest_interval_days,eco_friendly_flag,target_diseases,notes
NeemAzal Bio-Shield,Azadirachtin 1% EC,"Tomato,Potato,Chili,Cotton,Rice,Wheat,Corn,Grape,Apple,Soybean",3.0,1,True,"Early Blight,Late Blight,Powdery Mildew,Aphids,Whiteflies,Caterpillars","Certified organic cold-pressed neem botanical extract; safe for beneficial pollinators."
Tricho-Shield WP,Trichoderma viride 1.5% WP,"Tomato,Potato,Chili,Wheat,Rice,Cotton,Soybean",5.0,0,True,"Root Rot,Damping Off,Early Blight,Wilt,Collar Rot","Microbial bio-fungicide that colonizes root rhizosphere and suppresses fungal spores."
Serenade Bio-Fungicide,Bacillus subtilis QST 713,"Tomato,Potato,Grape,Apple,Chili,Corn,Wheat",4.0,0,True,"Early Blight,Late Blight,Bacterial Blight,Powdery Mildew,Anthracnose","Naturally occurring antagonistic bacteria producing lipopeptides that disrupt pathogen cell membranes."
Eco-Guard Bio-Extract,Pseudomonas fluorescens 1% WP,"Rice,Wheat,Tomato,Chili,Potato",5.0,0,True,"Blast,Bacterial Blight,Sheath Blight,Bacterial Wilt","Biological plant growth promoter and systemic resistance inducer against bacterial and fungal blights."
Copper-Shield Octanoate,Copper Octanoate (Soap),"Tomato,Potato,Grape,Apple,Chili",4.5,1,True,"Early Blight,Late Blight,Anthracnose,Black Rot,Apple Scab","Fixed copper fatty acid formulation suitable for organic farming; low soil accumulation."
Armicarb Bio-Salt,Potassium Bicarbonate,"Grape,Apple,Tomato,Chili",3.0,1,True,"Powdery Mildew,Apple Scab,Black Rot","Contact foliar bicarbonate that alters leaf pH and desiccates fungal mycelia."
Kocide 3000,Copper Hydroxide,"Tomato,Potato,Chili,Grape,Apple",2.0,3,False,"Early Blight,Late Blight,Anthracnose,Bacterial Canker,Black Rot","Broad-spectrum protective copper fungicide with high particle fineness and rain-fastness."
Dithane M-45,Mancozeb 75% WP,"Tomato,Potato,Wheat,Rice,Grape,Apple,Chili",2.5,7,False,"Early Blight,Late Blight,Rust,Leaf Spot,Downy Mildew,Apple Scab","Multi-site contact dithiocarbamate fungicide; essential for resistance management."
Amistar Opti,Azoxystrobin + Chlorothalonil,"Tomato,Potato,Wheat,Corn,Chili",2.0,14,False,"Early Blight,Late Blight,Rust,Anthracnose,Leaf Blight","Systemic strobilurin combined with multi-site chlorothalonil for long preventive persistence."
Tilt 250 EC,Propiconazole 25% EC,"Wheat,Rice,Corn,Soybean",1.0,21,False,"Rust,Stripe Rust,Sheath Blight,Leaf Spot","Broad-spectrum systemic triazole fungicide inhibiting fungal ergosterol biosynthesis."
Ridomil Gold MZ,Mefenoxam + Mancozeb,"Potato,Tomato,Grape",2.5,14,False,"Late Blight,Downy Mildew,Pythium Damping Off","Two-way systemic and contact formulation specifically targeting oomycete water molds."
Bavistin 50 WP,Carbendazim 50% WP,"Wheat,Rice,Cotton,Tomato,Chili",1.5,14,False,"Blast,Anthracnose,Loose Smut,Powdery Mildew","Systemic benzimidazole fungicide; banned or restricted in several jurisdictions due to endocrine disruption."
Monocil 36 SL,Monocrotophos 36% SL,"Cotton,Rice",1.5,28,False,"Bollworm,Stem Borer,Aphids,Leafhopper","Organophosphate insecticide; highly hazardous and banned in multiple regions."
ChlorGuard 20 EC,Chlorpyrifos 20% EC,"Cotton,Rice,Wheat",2.5,21,False,"Termites,Stem Borer,Aphids","Broad-spectrum organophosphate; restricted or banned in many regions for acute neurotoxicity."
Gramoxone 24 SL,Paraquat Dichloride,"Cotton,Corn,Soybean",3.0,30,False,"Weeds,Defoliant","Non-selective contact herbicide; banned in Kerala and European Union due to extreme mammalian toxicity."
